ID,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,DAYS_BIRTH,DAYS_EMPLOYED,FLAG_MOBIL,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,MONTHS_BALANCE,OVERDUE_STATUS,APPROVED
5008829,M,N,N,0,187000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-14920,365243,1,0,0,1,,2,48,0,1
5008830,F,Y,N,0,228800.0,Working,Secondary / secondary special,Single / not married,House / apartment,-21762,-4449,1,1,0,1,Waiters/barmen staff,1,52,0,0
5008831,M,N,N,0,135200.0,Working,Secondary / secondary special,Civil marriage,Municipal apartment,-16609,-10146,1,0,1,1,Cleaning staff,2,55,0,0
5008832,M,N,N,2,221000.0,Working,Higher education,Married,House / apartment,-21782,365243,1,0,0,1,,4,51,0,0
5008833,F,N,Y,0,115300.0,Working,Higher education,Civil marriage,House / apartment,-21384,-5052,1,0,0,0,Realty agents,2,38,0,1
5008834,F,N,N,0,143300.0,Working,Secondary / secondary special,Civil marriage,With parents,-12378,-1848,1,0,0,1,Accountants,2,49,0,0
5008835,F,Y,N,1,65100.0,Student,Secondary / secondary special,Married,Municipal apartment,-22746,-9022,1,0,0,1,Private service staff,2,22,0,0
5008836,M,N,Y,1,176300.0,Commercial associate,Secondary / secondary special,Married,Municipal apartment,-12812,-676,1,0,1,0,IT staff,3,35,1,1
5008837,M,Y,Y,1,189900.0,Commercial associate,Incomplete higher,Separated,House / apartment,-16408,-4371,1,0,0,0,High skill tech staff,2,32,0,1
5008838,F,Y,Y,0,15700.0,Working,Incomplete higher,Widow,House / apartment,-22932,-13950,1,0,0,0,Security staff,1,1,0,0
5008839,M,N,N,0,207000.0,State servant,Secondary / secondary special,Married,House / apartment,-23225,-5037,1,1,1,0,HR staff,2,58,0,0
5008840,M,N,Y,0,220500.0,Commercial associate,Secondary / secondary special,Married,Office apartment,-9909,-10998,1,0,0,0,Core staff,2,32,0,1
5008841,F,N,Y,1,120400.0,Working,Lower secondary,Married,House / apartment,-20168,365243,1,0,1,0,,2,37,0,1
5008842,M,Y,Y,0,377500.0,Commercial associate,Secondary / secondary special,Married,With parents,-15811,-2734,1,1,0,0,High skill tech staff,2,25,0,1
5008843,F,N,Y,1,130300.0,Working,Higher education,Single / not married,House / apartment,-20400,-7600,1,0,0,0,Realty agents,2,30,2,1
5008844,M,Y,N,0,131100.0,State servant,Secondary / secondary special,Single / not married,House / apartment,-21666,-7014,1,0,0,0,Private service staff,1,20,0,1
5008845,F,N,Y,0,119400.0,Working,Secondary / secondary special,Single / not married,House / apartment,-22862,-14578,1,0,1,0,Secretaries,2,12,0,1
5008846,F,N,Y,0,166400.0,Pensioner,Higher education,Separated,House / apartment,-9467,-14003,1,0,1,1,Managers,1,46,0,1
5008847,M,N,Y,1,240300.0,State servant,Secondary / secondary special,Married,House / apartment,-10104,-7980,1,0,0,1,Core staff,3,34,0,0
5008848,F,N,N,1,264000.0,Working,Higher education,Married,House / apartment,-18454,-13815,1,0,0,1,Security staff,3,44,0,1
5008849,F,Y,N,0,175600.0,Pensioner,Lower secondary,Married,House / apartment,-8441,-8990,1,0,0,1,Cleaning staff,1,44,1,1
5008850,M,N,Y,1,142400.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-17617,-1246,1,0,0,0,Drivers,3,34,0,0
5008851,M,N,Y,0,364600.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-9497,-12744,1,0,0,1,Security staff,2,5,0,1
5008852,F,N,N,0,167700.0,Working,Higher education,Separated,With parents,-19039,-10944,1,0,1,0,Accountants,1,10,0,0
5008853,M,N,N,0,82800.0,Working,Higher education,Married,Municipal apartment,-16639,-203,1,1,1,0,HR staff,2,59,0,0
5008854,M,Y,N,1,153100.0,Working,Secondary / secondary special,Separated,With parents,-22511,-74,1,1,1,0,Medicine staff,3,51,0,0
5008855,M,N,Y,0,256200.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-21231,-13583,1,0,1,1,Waiters/barmen staff,1,51,0,1
5008856,F,N,N,0,178100.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-12895,-4564,1,0,1,0,Sales staff,2,31,2,1
5008857,F,N,N,1,189300.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-8646,-4809,1,1,0,1,Drivers,3,56,0,1
5008858,F,N,Y,1,213800.0,Working,Higher education,Married,House / apartment,-16814,-8168,1,0,1,0,Secretaries,2,4,0,1
5008859,F,N,N,0,205900.0,Working,Incomplete higher,Civil marriage,House / apartment,-15915,-12300,1,0,1,0,Secretaries,2,20,0,1
5008860,F,N,N,0,282700.0,Commercial associate,Higher education,Married,House / apartment,-14405,365243,1,0,1,0,,2,40,0,1
5008861,F,Y,N,0,168700.0,Working,Higher education,Married,House / apartment,-17639,-8523,1,0,1,0,Accountants,2,5,0,1
5008862,M,N,N,0,134200.0,Working,Higher education,Married,House / apartment,-18785,-1011,1,1,1,0,IT staff,2,21,0,1
5008863,M,N,Y,1,77700.0,State servant,Secondary / secondary special,Widow,House / apartment,-17314,-12443,1,0,0,0,Accountants,2,7,2,1
5008864,F,N,Y,0,58200.0,Student,Secondary / secondary special,Single / not married,House / apartment,-22949,-2271,1,0,0,1,Sales staff,2,42,0,1
5008865,F,Y,Y,0,186800.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-12347,-5499,1,0,0,1,HR staff,2,55,0,1
5008866,F,N,N,1,172500.0,Working,Secondary / secondary special,Widow,House / apartment,-16037,-8540,1,1,1,0,Security staff,3,19,0,1
5008867,F,N,Y,1,63300.0,Commercial associate,Incomplete higher,Married,Rented apartment,-11563,-12456,1,0,1,0,Core staff,3,20,0,0
5008868,F,N,Y,0,84300.0,Working,Higher education,Married,Co-op apartment,-18424,-7614,1,0,0,0,Core staff,2,24,0,1
5008869,F,Y,N,0,212100.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-7778,-13787,1,1,0,0,Managers,2,59,0,0
5008870,F,Y,Y,1,25700.0,Student,Secondary / secondary special,Married,House / apartment,-17733,-2862,1,0,0,0,Secretaries,3,25,0,1
5008871,M,N,N,0,168000.0,Working,Secondary / secondary special,Married,House / apartment,-10403,-4031,1,0,0,0,Medicine staff,2,14,0,0
5008872,M,Y,Y,0,127700.0,Working,Secondary / secondary special,Separated,With parents,-7977,-10621,1,0,1,0,Drivers,1,27,0,0
5008873,M,N,Y,2,158000.0,Commercial associate,Higher education,Married,House / apartment,-7830,-9041,1,0,0,1,Medicine staff,3,20,0,0
5008874,M,N,Y,2,164800.0,State servant,Incomplete higher,Married,Co-op apartment,-18136,-3598,1,0,0,0,Private service staff,4,2,0,1
5008875,M,N,Y,0,121200.0,Pensioner,Secondary / secondary special,Married,House / apartment,-15347,365243,1,1,0,1,,2,27,0,1
5008876,F,Y,Y,0,214400.0,Working,Higher education,Married,House / apartment,-16949,-5330,1,1,0,0,Waiters/barmen staff,1,2,3,1
5008877,M,N,Y,0,141300.0,Commercial associate,Higher education,Civil marriage,Municipal apartment,-18380,-9517,1,1,0,0,Private service staff,2,21,0,1
5008878,M,N,N,1,82900.0,Pensioner,Secondary / secondary special,Widow,With parents,-10454,-10614,1,1,0,0,Core staff,2,2,0,0
5008879,M,N,Y,0,320400.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-17199,-13823,1,1,1,0,Cleaning staff,1,34,0,0
5008880,M,Y,Y,0,165800.0,Working,Secondary / secondary special,Married,House / apartment,-15015,-10064,1,0,1,0,Realty agents,2,47,0,1
5008881,F,Y,Y,1,259500.0,Commercial associate,Higher education,Married,Rented apartment,-19042,-9426,1,0,0,0,Low-skill Laborers,3,53,0,1
5008882,F,N,Y,0,99100.0,Pensioner,Higher education,Married,Co-op apartment,-15535,-5103,1,0,1,1,Medicine staff,1,3,0,1
5008883,F,N,Y,0,208700.0,Working,Higher education,Civil marriage,With parents,-8883,-10798,1,0,0,0,Core staff,1,50,0,1
5008884,F,Y,Y,1,29700.0,Commercial associate,Higher education,Civil marriage,House / apartment,-9885,-8396,1,0,0,0,IT staff,3,43,0,1
5008885,M,N,N,0,322700.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-16788,-12857,1,0,1,0,Security staff,2,50,0,1
5008886,F,Y,N,1,193300.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-7893,-1394,1,0,1,1,Managers,3,56,0,1
5008887,M,N,N,1,101300.0,Working,Secondary / secondary special,Married,House / apartment,-10802,-9872,1,0,0,1,Low-skill Laborers,3,57,0,1
5008888,M,Y,N,1,113100.0,Working,Higher education,Civil marriage,House / apartment,-22500,-3882,1,0,1,0,Private service staff,2,52,0,1
5008889,M,N,Y,0,208800.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-17998,-3790,1,0,0,1,Realty agents,1,54,1,1
5008890,F,N,Y,0,173000.0,Working,Incomplete higher,Married,House / apartment,-20816,-272,1,0,0,0,Sales staff,1,9,1,1
5008891,F,Y,Y,2,188900.0,Working,Secondary / secondary special,Single / not married,House / apartment,-20499,-9776,1,0,0,0,Laborers,4,48,1,1
5008892,M,N,N,0,104900.0,Working,Secondary / secondary special,Married,Office apartment,-20736,-3795,1,1,0,1,Secretaries,1,44,0,1
5008893,F,Y,Y,0,234900.0,Working,Higher education,Single / not married,House / apartment,-18024,-13703,1,0,1,1,Drivers,1,55,0,0
5008894,M,Y,Y,0,187800.0,Commercial associate,Higher education,Married,Rented apartment,-16782,-7100,1,0,0,0,Cleaning staff,2,26,0,0
5008895,F,Y,N,0,47900.0,Student,Higher education,Married,House / apartment,-13970,-10517,1,0,1,1,Managers,1,24,0,1
5008896,M,Y,Y,1,165700.0,Working,Secondary / secondary special,Married,Rented apartment,-18420,-6878,1,0,0,0,High skill tech staff,3,26,0,1
5008897,M,N,Y,1,221800.0,Working,Secondary / secondary special,Single / not married,House / apartment,-14188,-3897,1,1,0,1,Realty agents,3,42,0,1
5008898,M,Y,N,1,177900.0,Working,Higher education,Widow,House / apartment,-18151,-9536,1,0,1,1,Laborers,2,33,0,1
5008899,F,N,Y,0,186300.0,Commercial associate,Secondary / secondary special,Married,Rented apartment,-16617,-13103,1,0,0,0,Medicine staff,2,14,0,1
5008900,M,Y,Y,1,159600.0,Working,Secondary / secondary special,Married,House / apartment,-12622,-9373,1,0,0,1,Accountants,2,48,0,1
5008901,M,N,Y,3,171200.0,Pensioner,Secondary / secondary special,Separated,House / apartment,-22241,-13417,1,0,1,0,IT staff,5,5,0,1
5008902,M,N,Y,0,315000.0,Commercial associate,Higher education,Separated,Rented apartment,-22811,-4448,1,1,0,0,Realty agents,2,16,0,1
5008903,F,N,N,0,203000.0,Working,Secondary / secondary special,Married,House / apartment,-18003,-3349,1,0,1,0,Secretaries,2,47,0,0
5008904,F,Y,N,1,189400.0,Working,Secondary / secondary special,Single / not married,House / apartment,-13783,-2466,1,0,0,0,Medicine staff,2,44,0,0
5008905,F,Y,Y,0,416200.0,Commercial associate,Incomplete higher,Married,House / apartment,-9171,365243,1,0,0,0,,2,9,0,0
5008906,M,N,Y,0,209200.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-19359,-13802,1,0,0,0,Drivers,2,6,1,1
5008907,F,N,Y,1,191400.0,Working,Secondary / secondary special,Single / not married,Municipal apartment,-20386,-1568,1,0,0,0,Realty agents,2,31,0,1
5008908,F,N,N,0,167300.0,Working,Secondary / secondary special,Single / not married,Office apartment,-17485,365243,1,0,0,1,,1,2,0,0
5008909,F,Y,Y,2,258700.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-8628,-13602,1,0,0,0,Sales staff,3,22,0,1
5008910,M,Y,Y,0,15100.0,Commercial associate,Higher education,Married,House / apartment,-21242,-8198,1,0,0,0,Managers,1,47,0,1
5008911,M,N,N,1,163200.0,Pensioner,Secondary / secondary special,Married,House / apartment,-13757,-8443,1,0,0,0,Laborers,3,34,0,1
5008912,M,N,N,0,99900.0,Working,Secondary / secondary special,Married,Rented apartment,-9106,-10720,1,0,0,0,IT staff,2,37,3,0
5008913,F,N,N,1,119800.0,State servant,Secondary / secondary special,Separated,House / apartment,-13561,365243,1,0,1,0,,2,46,0,0
5008914,F,Y,N,0,117300.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-15762,-9085,1,0,0,0,Core staff,1,27,0,0
5008915,M,Y,Y,0,170700.0,Commercial associate,Secondary / secondary special,Married,Office apartment,-17634,-3758,1,1,0,0,Core staff,2,52,1,0
5008916,M,N,N,0,202600.0,Commercial associate,Secondary / secondary special,Single / not married,With parents,-23097,-13383,1,1,1,0,Sales staff,2,54,0,0
5008917,F,N,N,0,157400.0,Pensioner,Secondary / secondary special,Married,With parents,-20826,-8214,1,0,1,1,Cleaning staff,2,1,0,1
5008918,M,Y,Y,0,333800.0,Commercial associate,Higher education,Married,House / apartment,-10981,-5888,1,0,0,0,Laborers,1,13,0,1
5008919,F,N,Y,2,302300.0,Working,Secondary / secondary special,Married,House / apartment,-12144,-14215,1,0,0,0,Drivers,3,56,0,1
5008920,F,N,Y,0,186400.0,Working,Secondary / secondary special,Separated,House / apartment,-23452,-6986,1,1,1,0,IT staff,1,6,2,0
5008921,F,Y,N,0,147700.0,State servant,Secondary / secondary special,Widow,House / apartment,-17765,-6677,1,0,1,0,IT staff,2,41,0,0
5008922,M,Y,N,0,229100.0,Working,Secondary / secondary special,Married,With parents,-21086,-3341,1,0,0,1,Waiters/barmen staff,1,23,0,1
5008923,F,N,N,0,84100.0,Pensioner,Secondary / secondary special,Married,With parents,-17084,-14455,1,0,1,0,Cooking staff,1,5,2,0
5008924,F,Y,Y,0,79400.0,Pensioner,Secondary / secondary special,Single / not married,Rented apartment,-13098,-9838,1,0,1,0,Accountants,2,11,0,1
5008925,F,N,N,0,156900.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-17496,-10771,1,0,0,0,Private service staff,2,12,0,1
5008926,M,N,Y,0,118600.0,Pensioner,Secondary / secondary special,Married,House / apartment,-20713,-12891,1,0,0,1,Sales staff,1,15,0,0
5008927,M,Y,Y,0,49800.0,Working,Secondary / secondary special,Married,Municipal apartment,-7791,365243,1,0,0,0,,2,38,0,1
5008928,M,N,N,2,247200.0,Working,Secondary / secondary special,Married,House / apartment,-9209,-14208,1,1,0,0,Core staff,3,7,1,0
5008929,F,Y,N,1,249300.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-15789,-2536,1,0,0,0,HR staff,3,8,0,0
5008930,M,N,N,0,153500.0,Pensioner,Secondary / secondary special,Married,With parents,-23621,-6766,1,0,0,0,Managers,1,1,0,1
5008931,M,N,Y,1,81100.0,Working,Incomplete higher,Married,House / apartment,-22940,-2914,1,0,0,0,Waiters/barmen staff,3,47,0,1
5008932,M,N,Y,0,138100.0,Working,Higher education,Married,House / apartment,-13519,-4409,1,0,0,0,Core staff,1,36,0,1
5008933,F,N,Y,2,172400.0,Commercial associate,Higher education,Married,House / apartment,-11446,-10671,1,1,1,1,Waiters/barmen staff,3,7,0,1
5008934,M,N,Y,0,111500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-13309,-8003,1,0,1,0,IT staff,2,60,0,0
5008935,F,N,N,1,227300.0,Commercial associate,Higher education,Married,Municipal apartment,-20224,-2530,1,0,0,1,High skill tech staff,3,29,2,1
5008936,F,N,Y,0,234800.0,Working,Higher education,Married,House / apartment,-18816,-10569,1,0,0,1,Managers,2,21,1,1
5008937,M,N,Y,1,186200.0,Working,Secondary / secondary special,Married,House / apartment,-19059,-8339,1,0,0,0,Accountants,3,28,0,0
5008938,F,Y,Y,1,170300.0,Commercial associate,Higher education,Married,Rented apartment,-17919,-5213,1,0,0,0,Security staff,3,49,0,1
5008939,M,N,N,1,317800.0,Working,Higher education,Single / not married,House / apartment,-23379,-7485,1,0,0,1,Accountants,3,27,1,1
5008940,F,N,N,0,108800.0,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,-21536,-11328,1,0,0,0,Sales staff,2,31,0,1
5008941,F,Y,Y,1,122900.0,Working,Secondary / secondary special,Separated,House / apartment,-12480,-10438,1,0,0,0,Accountants,3,15,0,1
5008942,F,N,Y,0,61200.0,Working,Secondary / secondary special,Separated,House / apartment,-20354,-2795,1,0,1,0,Waiters/barmen staff,2,8,1,0
5008943,M,Y,N,0,123800.0,Pensioner,Secondary / secondary special,Married,House / apartment,-21237,-8033,1,1,1,1,Realty agents,1,21,0,0
5008944,F,Y,N,0,285600.0,Commercial associate,Higher education,Separated,House / apartment,-22405,-5384,1,0,1,0,HR staff,1,28,0,1
5008945,F,Y,Y,1,72100.0,Pensioner,Higher education,Separated,Rented apartment,-12315,365243,1,1,0,0,,3,41,0,1
5008946,F,Y,Y,1,219400.0,Working,Secondary / secondary special,Married,House / apartment,-13869,-14017,1,1,0,0,Medicine staff,3,11,0,1
5008947,F,Y,N,0,185300.0,Working,Secondary / secondary special,Married,House / apartment,-15198,-11401,1,0,0,1,Private service staff,2,12,1,0
5008948,F,N,N,0,87200.0,Commercial associate,Higher education,Married,House / apartment,-15739,-12903,1,0,0,0,Security staff,2,55,0,1
5008949,M,N,Y,1,195000.0,State servant,Secondary / secondary special,Separated,House / apartment,-15353,-11500,1,0,0,0,Drivers,3,56,3,0
5008950,M,Y,Y,0,208700.0,Commercial associate,Higher education,Married,House / apartment,-22319,-11325,1,0,1,0,HR staff,2,4,1,1
5008951,F,Y,Y,0,109100.0,Working,Higher education,Married,House / apartment,-18621,-611,1,1,0,0,IT staff,1,32,0,1
5008952,M,N,Y,0,240300.0,Working,Higher education,Civil marriage,House / apartment,-13945,-14461,1,1,0,0,Cleaning staff,2,38,0,1
5008953,M,Y,Y,0,159400.0,Pensioner,Higher education,Separated,House / apartment,-11487,-7958,1,0,1,0,IT staff,1,59,0,1
5008954,F,N,Y,0,137600.0,Commercial associate,Higher education,Single / not married,House / apartment,-9429,-4686,1,0,1,0,High skill tech staff,2,20,0,1
5008955,F,N,Y,0,198500.0,Working,Higher education,Married,With parents,-12982,-1385,1,0,0,0,Cleaning staff,1,8,0,1
5008956,M,N,Y,1,192800.0,Working,Incomplete higher,Married,House / apartment,-22577,-231,1,0,1,0,Waiters/barmen staff,2,17,0,1
5008957,F,N,Y,1,175700.0,Working,Higher education,Civil marriage,Rented apartment,-23240,-1693,1,0,1,1,HR staff,3,18,0,0
5008958,M,N,Y,1,147500.0,Working,Secondary / secondary special,Civil marriage,With parents,-20837,-4490,1,0,1,0,Cleaning staff,3,53,0,1
5008959,F,N,N,0,151700.0,State servant,Incomplete higher,Married,With parents,-17995,-843,1,0,0,1,Realty agents,1,57,1,0
5008960,M,N,Y,0,305500.0,Commercial associate,Incomplete higher,Single / not married,House / apartment,-8569,365243,1,0,0,0,,2,8,0,1
5008961,F,Y,N,0,205800.0,Working,Secondary / secondary special,Married,Rented apartment,-16630,-11257,1,0,0,0,Core staff,1,41,0,1
5008962,F,Y,N,0,52000.0,State servant,Higher education,Married,House / apartment,-8673,-4963,1,0,0,0,Low-skill Laborers,1,40,2,1
5008963,F,Y,N,1,15000.0,Student,Academic degree,Married,House / apartment,-8615,-8137,1,0,1,1,IT staff,2,41,0,0
5008964,M,Y,Y,0,56000.0,State servant,Secondary / secondary special,Widow,With parents,-12696,-10739,1,0,0,1,Security staff,2,38,0,1
5008965,F,N,Y,0,63000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-23371,-7605,1,1,0,0,High skill tech staff,1,6,1,0
5008966,M,Y,N,1,117700.0,State servant,Secondary / secondary special,Married,Municipal apartment,-15456,-7190,1,0,0,0,Laborers,2,26,1,1
5008967,M,Y,Y,0,151500.0,Working,Higher education,Married,Co-op apartment,-20071,-3019,1,0,0,1,Managers,1,30,1,1
5008968,F,Y,Y,0,117200.0,Pensioner,Lower secondary,Widow,House / apartment,-20491,-3081,1,1,1,1,Medicine staff,1,14,0,0
5008969,M,N,Y,2,177900.0,Working,Secondary / secondary special,Widow,House / apartment,-23339,-148,1,0,0,0,IT staff,4,49,0,0
5008970,F,N,N,1,176900.0,Working,Higher education,Civil marriage,With parents,-22388,0,1,0,1,0,Medicine staff,3,53,0,1
5008971,F,N,N,0,252000.0,Working,Higher education,Married,With parents,-12912,-3058,1,0,0,0,Core staff,1,1,0,1
5008972,M,Y,Y,0,74400.0,Working,Higher education,Single / not married,House / apartment,-21938,-942,1,0,0,1,HR staff,1,18,1,0
5008973,F,Y,N,0,134000.0,Pensioner,Higher education,Single / not married,House / apartment,-9706,-4633,1,1,1,0,Private service staff,2,18,0,1
5008974,M,N,N,1,178400.0,State servant,Higher education,Married,Municipal apartment,-16514,-263,1,0,1,1,Secretaries,2,55,0,1
5008975,F,N,Y,1,100500.0,Working,Secondary / secondary special,Married,House / apartment,-19483,-12648,1,0,1,1,HR staff,2,11,0,1
5008976,M,N,Y,0,142400.0,Pensioner,Secondary / secondary special,Married,Municipal apartment,-19978,-10144,1,0,1,0,IT staff,1,25,2,1
5008977,F,N,Y,0,135600.0,Pensioner,Secondary / secondary special,Married,House / apartment,-19651,-1910,1,0,0,0,IT staff,1,9,0,1
5008978,M,Y,N,1,177300.0,Working,Secondary / secondary special,Married,House / apartment,-21069,-2560,1,0,1,0,Secretaries,3,43,0,1
5008979,M,N,N,0,18500.0,Pensioner,Higher education,Married,House / apartment,-21568,-3033,1,0,1,1,Realty agents,2,30,0,1
5008980,M,N,N,0,240700.0,Working,Incomplete higher,Single / not married,House / apartment,-18111,-2770,1,1,1,1,Security staff,2,3,2,1
5008981,F,N,N,0,194300.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-7728,-2094,1,1,0,0,HR staff,2,19,3,0
5008982,F,N,Y,0,262500.0,Commercial associate,Higher education,Separated,House / apartment,-9826,-3389,1,1,1,0,IT staff,2,25,0,1
5008983,F,Y,N,1,29900.0,State servant,Secondary / secondary special,Married,Municipal apartment,-17055,-11342,1,1,0,0,Cooking staff,3,1,0,0
5008984,F,Y,N,0,146500.0,Working,Secondary / secondary special,Married,House / apartment,-19189,-7691,1,0,0,0,High skill tech staff,1,1,0,1
5008985,F,N,N,2,89700.0,Working,Secondary / secondary special,Married,House / apartment,-9944,-2154,1,0,1,0,IT staff,4,26,1,1
5008986,F,N,Y,0,334100.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-9486,-2377,1,1,0,0,Waiters/barmen staff,1,24,0,1
5008987,M,Y,Y,1,73600.0,Pensioner,Incomplete higher,Married,Municipal apartment,-15690,-1782,1,0,1,1,Managers,3,7,0,0
5008988,F,Y,Y,0,242800.0,State servant,Secondary / secondary special,Separated,House / apartment,-22484,-12118,1,1,0,1,Managers,1,50,0,1
5008989,F,N,Y,0,240000.0,Working,Secondary / secondary special,Married,House / apartment,-23664,-7306,1,1,0,0,Drivers,1,30,0,1
5008990,M,Y,N,0,129300.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,-10840,-6805,1,0,1,0,Waiters/barmen staff,1,55,0,1
5008991,M,N,N,0,321400.0,Commercial associate,Higher education,Married,Office apartment,-19647,365243,1,0,1,0,,2,45,2,0
5008992,F,N,N,1,120500.0,Working,Secondary / secondary special,Married,With parents,-19758,-6743,1,1,1,0,Accountants,3,58,0,1
5008993,M,N,Y,0,168400.0,Commercial associate,Lower secondary,Civil marriage,With parents,-11741,-6206,1,1,0,1,Low-skill Laborers,2,41,0,1
5008994,F,N,Y,0,238100.0,Working,Higher education,Married,With parents,-20907,-6101,1,0,0,0,High skill tech staff,1,42,2,1
